,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,Pos,GP,G,A,+/-,PIM,PPG,PPA,SHG,SHA,Sht,HIT,BLK,GWG,HAT,W,L,T,SHo,GA,SV,GAA
,,,,,,,,,,,,,,,,,,,,,,,
"Abdelkader, Justin",DET,LW,68,11,16,-11,54,2,2,1,1,139,147,24,1,0,0,0,0,0,0,0,0
"Agostino, Kenny",BOS,LW,54,13,14,0,22,2,3,0,0,112,51,14,1,0,0,0,0,0,0,0,0
"Aho, Sebastian",CAR,LW,82,23,24,-4,34,6,9,1,1,208,55,67,3,0,0,0,0,0,0,0,0
"Allen, Jake",STL,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,4,142,1598,2.37
"Andersen, Frederik",TOR,G,62,0,0,0,0,0,0,0,0,0,0,0,0,0,31,25,0,3,166,1701,2.68
"Anderson, Craig",OTT,G,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26,22,0,3,132,1299,2.49
"Andersson, Lias",NYR,LW,31,7,8,-2,12,0,2,0,0,78,31,13,0,0,0,0,0,0,0,0,0
"Andrighetto, Sven",COL,RW,56,11,18,-7,24,2,2,0,0,98,33,22,1,0,0,0,0,0,0,0,0
"Anisimov, Artem",CHI,C,75,21,25,6,24,5,7,1,1,133,33,31,4,0,0,0,0,0,0,0,0
"Archibald, Josh",PIT,RW,40,10,4,4,12,0,0,0,1,71,56,8,0,0,0,0,0,0,0,0,0
"Arvidsson, Viktor",NAS,LW,80,24,28,8,30,4,6,2,3,244,25,44,4,0,0,0,0,0,0,0,0
"Athanasiou, Andreas",DET,C,69,19,14,-8,34,3,5,0,1,134,40,24,3,0,0,0,0,0,0,0,0
"Atkinson, Cam",CLM,RW,81,31,27,7,22,9,8,2,0,233,40,37,5,1,0,0,0,0,0,0,0
"Backes, David",BOS,RW,76,18,23,3,71,2,5,0,0,170,210,50,1,0,0,0,0,0,0,0,0
"Backlund, Mikael",CGY,C,81,21,29,8,30,5,9,1,1,181,60,44,4,0,0,0,0,0,0,0,0
"Backstrom, Nicklas",WAS,C,78,23,58,14,34,3,25,0,0,157,44,32,4,0,0,0,0,0,0,0,0
"Baertschi, Sven",VAN,LW,70,16,18,-9,12,2,4,0,0,115,40,33,2,0,0,0,0,0,0,0,0
"Bailey, Josh",NYI,LW,82,12,23,0,24,2,6,1,1,151,44,31,1,0,0,0,0,0,0,0,0
"Barkov, Aleksander",FLA,C,70,24,30,11,12,6,9,0,1,181,44,34,5,0,0,0,0,0,0,0,0
"Barrie, Tyson",COL,D,76,9,33,-14,24,1,8,0,1,166,34,77,1,0,0,0,0,0,0,0,0
"Barzal, Mathew",NYI,C,43,6,17,-3,10,0,4,0,0,57,24,7,0,0,0,0,0,0,0,0,0
"Beagle, Jay",WAS,C,81,11,13,5,22,0,0,0,1,99,55,32,1,0,0,0,0,0,0,0,0
"Beaulieu, Nathan",BUF,D,77,4,23,2,46,1,4,0,0,114,61,99,1,0,0,0,0,0,0,0,0
"Benn, Jamie",DAL,C,80,32,44,0,64,13,15,1,2,244,121,36,5,1,0,0,0,0,0,0,0
"Bennett, Sam",CGY,LW,81,16,18,-10,56,4,2,0,1,139,113,40,2,0,0,0,0,0,0,0,0
"Bergeron, Patrice",BOS,C,80,23,32,14,28,7,9,1,2,241,60,51,4,0,0,0,0,0,0,0,0
"Berglund, Patrik",STL,C,78,17,13,-2,38,3,4,1,1,149,99,44,4,0,0,0,0,0,0,0,0
"Bernier, Jonathan",COL,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,1,111,1134,2.64
"Berube, Jean-Francois",CHI,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,56,524,2.8
"Bishop, Ben",DAL,G,55,0,0,0,0,0,0,0,0,0,0,0,0,0,28,22,0,3,137,1463,2.49
"Bjorkstrand, Oliver",CLM,RW,56,14,17,3,12,3,3,0,0,133,20,13,2,0,0,0,0,0,0,0,0
"Bobrovsky, Sergei",CLM,G,64,0,0,0,0,0,0,0,0,0,0,0,0,0,34,26,0,5,149,1707,2.33
"Boeser, Brock",VAN,RW,47,14,13,-3,32,3,2,0,0,99,34,11,1,0,0,0,0,0,0,0,0
"Bonino, Nick",NAS,C,77,17,20,0,24,3,4,1,1,155,45,71,2,0,0,0,0,0,0,0,0
"Boychuk, Johnny",NYI,D,68,6,17,9,30,1,4,1,1,157,151,122,1,0,0,0,0,0,0,0,0
"Bozak, Tyler",TOR,C,76,15,28,-3,24,3,7,0,1,149,45,25,2,0,0,0,0,0,0,0,0
"Brassard, Derick",OTT,C,81,18,26,12,27,4,9,0,0,191,99,24,4,0,0,0,0,0,0,0,0
"Brodie, T.J.",CGY,D,78,6,31,-4,20,1,9,0,1,81,31,112,1,0,0,0,0,0,0,0,0
"Brodin, Jonas",MIN,D,67,2,20,-2,30,1,3,0,0,99,34,100,1,0,0,0,0,0,0,0,0
"Brossoit, Laurent",EDM,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,43,396,2.87
"Brown, Connor",TOR,RW,81,19,15,4,12,2,3,1,1,141,45,51,2,0,0,0,0,0,0,0,0
"Brown, Dustin",LOS,RW,80,14,21,-6,30,2,2,0,1,161,191,28,1,0,0,0,0,0,0,0,0
"Budaj, Peter",TAM,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,1,61,616,2.54
"Burakovsky, Andre",WAS,RW,71,14,24,11,18,3,4,0,0,137,40,25,2,0,0,0,0,0,0,0,0
"Burns, Brent",SAN,D,82,24,47,9,42,9,14,0,1,321,88,135,5,0,0,0,0,0,0,0,0
"Burrows, Alex",OTT,RW,77,15,13,-9,50,1,1,1,1,123,61,31,1,0,0,0,0,0,0,0,0
"Byfuglien, Dustin",WPG,D,80,15,35,6,118,3,12,1,1,239,177,110,3,0,0,0,0,0,0,0,0
"Byron, Paul",MON,C,81,12,10,10,34,0,3,0,1,109,122,36,3,0,0,0,0,0,0,0,0
"Cammalleri, Michael",LOS,LW,63,15,21,-11,24,2,6,0,0,144,33,13,2,0,0,0,0,0,0,0,0
"Carlson, John",WAS,D,77,8,32,10,12,2,12,0,0,167,52,122,2,0,0,0,0,0,0,0,0
"Carter, Jeff",LOS,C,79,27,37,11,34,7,11,1,1,244,87,37,5,0,0,0,0,0,0,0,0
"Cassels, Cole",VAN,C,74,14,22,2,20,4,10,0,0,118,32,16,1,0,0,0,0,0,0,0,0
"Chabot, Thomas",OTT,D,31,2,7,-3,12,0,1,0,0,31,21,21,0,0,0,0,0,0,0,0,0
"Chara, Zdeno",BOS,D,76,8,17,14,62,1,1,0,1,128,132,131,0,0,0,0,0,0,0,0,0
"Chimera, Jason",NYI,LW,82,20,16,-3,34,3,5,1,1,139,122,28,2,0,0,0,0,0,0,0,0
"Cogliano, Andrew",ANA,LW,82,14,19,8,28,0,0,2,1,159,92,30,2,0,0,0,0,0,0,0,0
"Condon, Mike",OTT,G,29,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,1,81,758,2.79
"Connor, Kyle",WPG,LW,44,13,12,-4,10,3,2,0,0,103,15,6,1,0,0,0,0,0,0,0,0
"Coreau, Jared",DET,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,56,3
"Couture, Logan",SAN,C,78,27,33,6,20,9,10,1,1,199,54,54,4,1,0,0,0,0,0,0,0
"Couturier, Sean",PHI,C,70,12,21,10,33,2,4,1,1,127,37,33,2,0,0,0,0,0,0,0,0
"Coyle, Charlie",MIN,RW,82,20,29,7,30,3,4,0,1,155,111,62,4,0,0,0,0,0,0,0,0
"Crawford, Corey",CHI,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,0,4,145,1557,2.42
"Crosby, Sidney",PIT,C,77,36,61,18,30,11,16,0,1,251,77,31,7,2,0,0,0,0,0,0,0
"Dadonov, Evgeny",FLA,RW,71,21,24,4,20,4,5,0,0,159,31,23,2,0,0,0,0,0,0,0,0
"Daley, Trevor",DET,D,61,5,16,4,30,1,4,0,0,91,32,72,0,0,0,0,0,0,0,0,0
"Danault, Phillip",MON,C,82,16,25,4,36,1,2,0,1,143,81,55,2,0,0,0,0,0,0,0,0
"Darling, Scott",CAR,G,58,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0,2,144,1479,2.48
"DeAngelo, Anthony",NYR,D,73,11,22,-2,62,2,5,0,0,134,55,78,2,0,0,0,0,0,0,0,0
"Del Zotto, Michael",VAN,D,61,5,13,-9,30,1,4,0,0,95,144,109,0,0,0,0,0,0,0,0,0
"Dell, Aaron",SAN,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,55,533,2.75
"Demers, Jason",ARI,D,81,8,20,2,62,2,4,1,1,103,99,80,1,0,0,0,0,0,0,0,0
"Domi, Max",ARI,C,77,22,38,-7,50,7,11,1,1,171,30,23,3,0,0,0,0,0,0,0,0
"Domingue, Louis",ARI,G,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,95,882,2.97
"Doughty, Drew",LOS,D,82,13,35,12,50,6,14,0,1,191,124,105,3,0,0,0,0,0,0,0,0
"Draisaitl, Leon",EDM,C,82,33,44,4,20,11,13,0,0,191,40,31,5,1,0,0,0,0,0,0,0
"Drouin, Jonathan",MON,C,75,23,31,-12,20,8,11,0,0,211,55,14,4,0,0,0,0,0,0,0,0
"Dubinsky, Brandon",CLM,C,80,14,28,0,80,3,4,1,1,165,233,55,3,0,0,0,0,0,0,0,0
"Dubnyk, Devan",MIN,G,63,0,0,0,0,0,0,0,0,0,0,0,0,0,31,24,0,5,151,1707,2.4
"Duchene, Matt",COL,C,77,21,30,-14,20,6,7,0,1,181,41,40,4,0,0,0,0,0,0,0,0
"Dumba, Mathew",MIN,D,79,11,25,11,44,5,8,0,0,159,100,69,2,0,0,0,0,0,0,0,0
"Dvorak, Christian",ARI,LW,79,17,21,-2,30,3,4,0,0,109,77,56,1,0,0,0,0,0,0,0,0
"Dzingel, Ryan",OTT,C,81,16,21,5,34,1,3,1,1,133,77,23,2,0,0,0,0,0,0,0,0
"Eaves, Patrick",ANA,RW,79,24,21,-3,30,9,4,0,0,178,81,56,3,0,0,0,0,0,0,0,0
"Eberle, Jordan",NYI,RW,78,23,30,-3,18,5,11,0,0,200,27,30,3,0,0,0,0,0,0,0,0
"Edler, Alexander",VAN,D,65,5,16,-11,40,1,1,0,0,141,90,122,1,0,0,0,0,0,0,0,0
"Ehlers, Nikolaj",WPG,LW,81,26,37,2,40,7,9,0,0,221,43,26,5,0,0,0,0,0,0,0,0
"Eichel, Jack",BUF,C,77,30,39,-5,28,12,16,0,0,298,44,31,6,1,0,0,0,0,0,0,0
"Ekblad, Aaron",FLA,D,79,12,28,4,56,5,9,0,1,210,89,61,3,0,0,0,0,0,0,0,0
"Ekholm, Mattias",NAS,D,81,5,22,6,40,1,5,0,0,125,66,110,1,0,0,0,0,0,0,0,0
"Ekman-Larsson, Oliver",ARI,D,77,13,30,-11,56,9,11,0,1,177,122,81,4,0,0,0,0,0,0,0,0
"Elliott, Brian",PHI,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,2,108,1092,2.57
"Ellis, Ryan",NAS,D,39,5,11,6,15,1,3,0,1,72,31,60,1,0,0,0,0,0,0,0,0
"Eriksson, Loui",VAN,RW,73,19,18,-7,12,6,3,0,1,149,22,30,2,0,0,0,0,0,0,0,0
"Eriksson Ek, Joel",MIN,C,33,8,7,-2,10,1,1,0,0,71,12,9,1,0,0,0,0,0,0,0,0
"Fabbri, Robby",STL,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Faksa, Radek",DAL,C,80,14,23,-2,56,1,3,0,0,156,91,56,0,0,0,0,0,0,0,0,0
"Faulk, Justin",CAR,D,77,15,26,-14,30,7,9,0,0,185,110,72,2,0,0,0,0,0,0,0,0
"Fedun, Taylor",BUF,D,56,3,14,2,20,0,2,0,0,45,21,32,0,0,0,0,0,0,0,0,0
"Fiala, Kevin",NAS,LW,63,12,8,0,24,0,0,0,0,123,55,23,1,0,0,0,0,0,0,0,0
"Filppula, Valtteri",PHI,C,79,14,31,-5,30,1,6,0,1,99,32,22,1,0,0,0,0,0,0,0,0
"Fischer, Christian",ARI,RW,45,12,14,-9,18,2,4,0,0,99,27,13,1,0,0,0,0,0,0,0,0
"Fleury, Marc-Andre",LAS,G,58,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0,1,161,1570,2.78
"Foligno, Nick",CLM,LW,78,24,26,0,54,9,12,0,0,183,151,48,4,0,0,0,0,0,0,0,0
"Forsberg, Filip",NAS,RW,82,32,30,2,40,5,11,1,1,241,105,34,5,1,0,0,0,0,0,0,0
"Forsberg, Anton",CHI,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,47,2.5
"Fowler, Cam",ANA,D,78,9,26,0,24,3,11,0,1,158,40,122,2,0,0,0,0,0,0,0,0
"Franson, Cody",CHI,D,61,2,12,3,20,0,0,0,0,71,69,71,0,0,0,0,0,0,0,0,0
"Frolik, Michael",CGY,LW,80,16,27,9,54,2,5,1,1,167,62,46,2,0,0,0,0,0,0,0,0
"Gaborik, Marian",LOS,RW,63,13,12,-5,14,2,2,0,0,123,22,44,2,0,0,0,0,0,0,0,0
"Gagner, Sam",VAN,C,81,17,24,5,30,3,7,0,0,174,22,59,1,0,0,0,0,0,0,0,0
"Galchenyuk, Alex",MON,RW,80,24,28,0,34,7,9,0,0,177,56,38,5,0,0,0,0,0,0,0,0
"Gallagher, Brendan",MON,RW,64,11,15,9,30,3,2,0,0,168,50,21,1,0,0,0,0,0,0,0,0
"Gardiner, Jake",TOR,D,80,8,31,13,32,1,11,0,0,124,71,69,2,0,0,0,0,0,0,0,0
"Gaudreau, Johnny",CGY,LW,79,31,43,4,14,7,13,0,0,221,13,12,5,1,0,0,0,0,0,0,0
"Gaudreau, Frederick",NAS,C,47,9,11,0,10,1,2,0,0,85,23,4,0,0,0,0,0,0,0,0,0
"Getzlaf, Ryan",ANA,C,76,15,48,11,50,4,13,1,1,141,92,71,3,0,0,0,0,0,0,0,0
"Gibson, John",ANA,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,0,4,142,1619,2.37
"Gillies, Jon",CGY,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,49,2.5
"Gionta, Brian",,RW,80,13,20,-6,20,2,3,1,1,144,40,32,2,0,0,0,0,0,0,0,0
"Giordano, Mark",CGY,D,81,12,32,12,60,5,13,1,1,177,71,188,3,0,0,0,0,0,0,0,0
"Girardi, Dan",TAM,D,69,3,13,9,20,0,1,0,0,74,112,141,0,0,0,0,0,0,0,0,0
"Giroux, Claude",PHI,C,80,17,44,-7,40,5,20,0,1,225,69,30,4,0,0,0,0,0,0,0,0
"Glass, Cody",LAS,C,59,14,25,-13,34,2,6,0,0,129,34,13,1,0,0,0,0,0,0,0,0
"Goligoski, Alex",ARI,D,82,6,31,-10,32,1,7,0,1,121,112,144,1,0,0,0,0,0,0,0,0
"Gostisbehere, Shayne",PHI,D,73,8,29,-12,30,4,16,0,0,166,34,88,1,0,0,0,0,0,0,0,0
"Grabner, Michael",NYR,RW,78,22,14,13,12,0,1,2,2,162,41,43,3,0,0,0,0,0,0,0,0
"Granlund, Markus",VAN,C,71,18,13,-11,20,2,4,1,1,129,33,13,2,0,0,0,0,0,0,0,0
"Granlund, Mikael",MIN,C,81,22,40,13,14,5,12,1,1,169,43,45,3,0,0,0,0,0,0,0,0
"Green, Mike",DET,D,73,8,24,-13,40,4,11,0,0,126,81,84,1,0,0,0,0,0,0,0,0
"Greiss, Thomas",NYI,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,2,108,1137,2.57
"Grubauer, Philipp",WAS,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1,43,445,2.53
"Gudas, Radko",PHI,D,71,5,18,4,99,0,2,0,0,112,244,121,0,0,0,0,0,0,0,0,0
"Guentzel, Jake",PIT,LW,77,29,32,5,20,6,9,0,0,177,112,27,3,0,0,0,0,0,0,0,0
"Halak, Jaroslav",NYI,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,2,103,1058,2.58
"Hall, Taylor",NJD,LW,75,21,32,-9,40,6,9,0,1,231,61,40,4,0,0,0,0,0,0,0,0
"Hamilton, Dougie",CGY,D,81,13,39,8,54,3,13,0,1,211,70,97,2,0,0,0,0,0,0,0,0
"Hamonic, Travis",CGY,D,76,7,17,-5,57,1,2,0,0,132,127,129,0,0,0,0,0,0,0,0,0
"Hanifin, Noah",CAR,D,80,4,26,-13,24,1,7,0,0,122,69,75,1,0,0,0,0,0,0,0,0
"Hansen, Jannik",SAN,RW,79,11,15,6,38,0,0,0,1,112,41,16,0,0,0,0,0,0,0,0,0
"Hanzal, Martin",DAL,C,74,16,20,-11,60,3,1,0,0,155,129,40,2,0,0,0,0,0,0,0,0
"Hartman, Ryan",CHI,RW,77,17,12,4,82,0,0,0,0,156,131,32,2,0,0,0,0,0,0,0,0
"Hartnell, Scott",NAS,LW,77,17,22,3,80,2,4,0,0,143,99,44,1,0,0,0,0,0,0,0,0
"Haula, Erik",LAS,C,72,14,16,3,26,1,1,1,1,124,42,48,2,0,0,0,0,0,0,0,0
"Hawryluk, Jayce",FLA,C,28,4,5,6,18,0,0,0,0,57,17,11,0,0,0,0,0,0,0,0,0
"Hayes, Kevin",NYR,C,79,19,31,11,30,3,7,1,1,155,54,31,3,0,0,0,0,0,0,0,0
"Hedman, Victor",TAM,D,79,13,41,11,44,3,17,0,1,188,71,132,4,0,0,0,0,0,0,0,0
"Hellebuyck, Connor",WPG,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,1,98,1003,2.8
"Helm, Darren",DET,C,69,14,15,2,30,1,2,1,1,134,87,40,2,0,0,0,0,0,0,0,0
"Henrique, Adam",NJD,C,81,24,21,-4,30,6,7,2,1,156,71,61,4,0,0,0,0,0,0,0,0
"Hicketts, Joe",DET,D,45,3,13,-4,12,1,2,0,0,45,24,34,0,0,0,0,0,0,0,0,0
"Hischier, Nico",NJD,C,73,19,24,-8,34,4,8,0,0,159,59,20,2,0,0,0,0,0,0,0,0
"Ho-Sang, Josh",NYI,RW,63,15,28,-1,30,2,6,0,0,113,15,31,1,0,0,0,0,0,0,0,0
"Hoffman, Mike",OTT,LW,77,27,31,12,30,9,11,0,0,233,31,25,4,0,0,0,0,0,0,0,0
"Holden, Nick",NYR,D,81,8,24,10,30,1,3,0,1,100,156,100,1,0,0,0,0,0,0,0,0
"Holtby, Braden",WAS,G,65,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,0,6,144,1656,2.22
"Honka, Julius",DAL,D,62,5,22,-2,34,1,5,0,0,91,54,32,0,0,0,0,0,0,0,0,0
"Hornqvist, Patric",PIT,RW,76,21,26,11,30,8,9,0,0,219,187,54,4,0,0,0,0,0,0,0,0
"Horvat, Bo",VAN,C,81,21,31,-5,20,4,7,1,1,149,67,45,1,0,0,0,0,0,0,0,0
"Hossa, Marian",CHI,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howard, Jimmy",DET,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,1,109,1091,2.6
"Huberdeau, Jonathan",FLA,LW,77,22,34,9,40,6,9,0,1,181,56,30,3,0,0,0,0,0,0,0,0
"Hunwick, Matt",PIT,D,61,1,14,10,20,0,0,0,0,71,80,80,0,0,0,0,0,0,0,0,0
"Hutchinson, Michael",WPG,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,1,100,1009,2.86
"Hutton, Carter",STL,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,1,58,586,2.64
"Iginla, Jarome",,RW,40,9,8,-10,24,3,3,0,0,91,54,21,2,0,0,0,0,0,0,0,0
"Jagr, Jaromir",,RW,77,14,27,0,44,4,7,0,0,140,23,10,1,0,0,0,0,0,0,0,0
"Jarnkrok, Calle",NAS,C,81,17,14,0,23,2,2,1,1,139,40,29,1,0,0,0,0,0,0,0,0
"Jenner, Boone",CLM,LW,81,22,18,8,64,2,1,1,1,219,214,77,3,0,0,0,0,0,0,0,0
"Johansen, Ryan",NAS,C,78,20,43,-1,50,4,13,1,0,178,63,20,3,0,0,0,0,0,0,0,0
"Johansson, Marcus",NJD,LW,80,21,31,13,14,4,13,0,1,136,36,22,4,0,0,0,0,0,0,0,0
"Johnson, Chad",BUF,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,1,67,633,3.05
"Johnson, Tyler",TAM,C,70,17,25,0,24,4,11,0,0,159,46,31,3,0,0,0,0,0,0,0,0
"Johnson, Jack",CLM,D,77,5,21,8,30,1,1,0,1,119,99,122,1,0,0,0,0,0,0,0,0
"Johnson, Erik",COL,D,63,4,19,-9,12,0,3,0,0,113,92,81,1,0,0,0,0,0,0,0,0
"Jokinen, Jussi",EDM,LW,75,13,15,-3,40,3,5,1,1,139,34,40,2,0,0,0,0,0,0,0,0
"Jones, Martin",SAN,G,62,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,0,4,152,1609,2.45
"Jones, Seth",CLM,D,77,11,31,8,20,2,7,0,0,161,55,99,2,0,0,0,0,0,0,0,0
"Josi, Roman",NAS,D,78,13,38,3,32,6,13,0,1,208,55,133,2,0,0,0,0,0,0,0,0
"Jost, Tyson",COL,C,37,10,9,-9,44,2,4,0,0,102,45,17,2,0,0,0,0,0,0,0,0
"Kadri, Nazem",TOR,C,78,21,26,-4,77,11,4,0,0,211,124,38,4,0,0,0,0,0,0,0,0
"Kamenev, Vladislav",NAS,C,44,9,13,2,10,0,1,0,0,100,19,4,0,0,0,0,0,0,0,0,0
"Kane, Evander",BUF,LW,72,24,16,-11,100,5,7,0,0,256,144,30,4,0,0,0,0,0,0,0,0
"Kane, Patrick",CHI,RW,82,36,58,14,32,11,19,0,1,289,26,13,7,2,0,0,0,0,0,0,0
"Karlsson, Erik",OTT,D,71,15,49,6,24,5,25,0,1,213,55,167,4,0,0,0,0,0,0,0,0
"Keith, Duncan",CHI,D,79,8,37,16,20,3,11,0,1,169,22,113,3,0,0,0,0,0,0,0,0
"Keller, Clayton",ARI,C,47,13,14,-11,38,2,5,0,0,122,43,13,2,0,0,0,0,0,0,0,0
"Kesler, Ryan",ANA,C,80,22,34,5,80,6,11,0,0,171,150,81,3,0,0,0,0,0,0,0,0
"Kessel, Phil",PIT,RW,82,25,38,4,20,9,17,0,1,233,11,14,4,1,0,0,0,0,0,0,0
"Khudobin, Anton",BOS,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,50,493,2.5
"Killorn, Alex",TAM,C,81,16,21,-2,55,3,5,1,1,170,80,24,3,0,0,0,0,0,0,0,0
"Kinkaid, Keith",NJD,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,62,587,2.95
"Klefbom, Oscar",EDM,D,81,12,31,10,34,2,11,0,0,200,44,139,2,0,0,0,0,0,0,0,0
"Klingberg, John",DAL,D,78,12,39,11,32,3,15,0,0,137,43,89,3,0,0,0,0,0,0,0,0
"Koivu, Mikko",MIN,C,81,17,40,11,37,4,11,1,1,140,36,60,3,0,0,0,0,0,0,0,0
"Komarov, Leo",TOR,LW,78,19,18,4,34,3,5,1,1,139,221,55,2,0,0,0,0,0,0,0,0
"Konecny, Travis",PHI,C,78,14,16,-4,56,5,6,0,0,164,102,34,2,0,0,0,0,0,0,0,0
"Kopitar, Anze",LOS,C,77,19,40,11,24,4,13,1,1,177,78,61,4,0,0,0,0,0,0,0,0
"Korpisalo, Joonas",CLM,G,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,51,482,2.83
"Kreider, Chris",NYR,LW,77,26,24,11,60,7,6,0,1,191,144,30,4,0,0,0,0,0,0,0,0
"Krejci, David",BOS,C,74,17,32,2,30,4,11,0,1,143,41,49,2,0,0,0,0,0,0,0,0
"Krug, Torey",BOS,D,81,12,29,9,30,4,15,0,0,221,61,70,2,0,0,0,0,0,0,0,0
"Kucherov, Nikita",TAM,RW,77,34,44,11,34,11,15,0,0,249,45,22,5,0,0,0,0,0,0,0,0
"Kuemper, Darcy",LOS,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,58,563,2.64
"Kunitz, Chris",TAM,LW,75,14,20,4,40,1,4,0,0,139,221,31,2,0,0,0,0,0,0,0,0
"Kuznetsov, Evgeny",WAS,C,82,21,41,13,40,3,12,0,0,177,55,21,3,0,0,0,0,0,0,0,0
"Lack, Eddie",CGY,G,28,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,1,72,729,2.57
"Ladd, Andrew",NYI,LW,75,21,14,-9,44,4,3,1,1,146,122,43,2,0,0,0,0,0,0,0,0
"Laine, Patrik",WPG,RW,79,34,27,4,30,11,6,0,1,233,82,31,5,1,0,0,0,0,0,0,0
"Landeskog, Gabriel",COL,LW,75,21,28,-11,70,6,5,1,1,177,142,56,3,0,0,0,0,0,0,0,0
