,,,,,,,,,,,,,,,,,,,,,,,
"Larkin, Dylan",DET,C,80,24,25,-12,40,7,4,1,1,217,69,24,3,0,0,0,0,0,0,0,0
"Leddy, Nick",NYI,D,81,7,35,-4,20,2,11,0,0,131,80,91,1,0,0,0,0,0,0,0,0
"Lee, Anders",NYI,C,80,26,23,0,54,8,4,0,0,193,166,33,5,0,0,0,0,0,0,0,0
"Lehner, Robin",BUF,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0,2,154,1645,2.57
"Lehtonen, Kari",DAL,G,27,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,1,74,687,2.74
"Leivo, Josh",TOR,LW,35,7,9,-3,14,1,2,0,0,61,23,5,0,0,0,0,0,0,0,0,0
"Letang, Kris",PIT,D,67,9,36,5,56,4,17,0,1,167,100,85,2,0,0,0,0,0,0,0,0
"Letestu, Mark",EDM,C,80,15,20,0,20,4,3,1,1,131,69,33,3,0,0,0,0,0,0,0,0
"Liljegren, Timothy",TOR,D,37,2,9,-5,14,0,1,0,0,44,24,24,0,0,0,0,0,0,0,0,0
"Lindholm, Hampus",ANA,D,62,4,17,7,30,1,3,0,0,99,71,77,1,0,0,0,0,0,0,0,0
"Lindholm, Elias",CAR,RW,77,11,30,-11,20,2,11,1,2,157,100,44,2,0,0,0,0,0,0,0,0
"Little, Bryan",WPG,C,63,22,27,-9,20,5,9,0,0,131,44,22,3,0,0,0,0,0,0,0,0
"Lowry, Adam",WPG,LW,80,13,14,-2,50,3,5,1,1,131,199,52,1,0,0,0,0,0,0,0,0
"Lucic, Milan",EDM,LW,81,22,28,-2,62,5,11,0,1,171,211,22,3,0,0,0,0,0,0,0,0
"Lundqvist, Henrik",NYR,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,0,3,149,1606,2.48
"Luongo, Roberto",FLA,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,0,1,105,1066,2.63
"MacKinnon, Nathan",COL,C,78,22,34,-12,20,5,11,1,1,233,50,34,4,0,0,0,0,0,0,0,0
"Malkin, Evgeni",PIT,C,69,26,37,3,61,9,14,0,0,188,25,21,5,0,0,0,0,0,0,0,0
"Mantha, Anthony",DET,RW,72,19,21,8,49,2,4,0,0,145,44,31,2,0,0,0,0,0,0,0,0
"Marchand, Brad",BOS,LW,79,36,41,19,84,10,16,3,2,249,51,45,7,1,0,0,0,0,0,0,0
"Marchessault, Jonathan",LAS,LW,79,25,20,-26,40,9,11,0,0,200,109,17,3,0,0,0,0,0,0,0,0
"Markov, Andrei",,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Markstrom, Jacob",VAN,G,39,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,0,1,112,1067,2.87
"Marleau, Patrick",TOR,LW,82,25,24,4,30,6,11,0,1,195,71,34,4,0,0,0,0,0,0,0,0
"Marner, Mitch",TOR,C,79,23,44,7,44,5,16,0,1,188,46,71,4,0,0,0,0,0,0,0,0
"Maroon, Patrick",EDM,LW,81,20,14,9,102,2,4,0,1,181,177,31,4,0,0,0,0,0,0,0,0
"Martin, Matt",TOR,LW,65,4,7,5,98,0,0,0,0,54,327,23,0,0,0,0,0,0,0,0,0
"Martin, Paul",SAN,D,81,4,21,5,22,0,0,0,0,67,47,125,0,0,0,0,0,0,0,0,0
"Martinez, Alec",LOS,D,80,9,25,10,30,3,11,0,1,149,141,155,2,0,0,0,0,0,0,0,0
"Mason, Steve",WPG,G,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,71,673,2.84
"Matthews, Auston",TOR,C,82,37,41,7,24,9,12,1,1,277,31,64,6,1,0,0,0,0,0,0,0
"McAvoy, Charlie",BOS,D,72,9,27,-2,46,1,7,0,0,129,61,44,0,0,0,0,0,0,0,0,0
"McDavid, Connor",EDM,C,82,36,74,22,32,3,24,2,1,263,40,31,6,2,0,0,0,0,0,0,0
"McDonagh, Ryan",NYR,D,75,7,30,18,30,1,11,0,1,147,82,155,1,0,0,0,0,0,0,0,0
"McElhinney, Curtis",TOR,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,55,516,2.75
"McGinn, Jamie",FLA,LW,59,8,7,0,30,1,0,0,0,88,110,13,1,0,0,0,0,0,0,0,0
"McNabb, Brayden",LAS,D,65,2,13,-8,52,0,0,0,0,72,185,76,0,0,0,0,0,0,0,0,0
"Milano, Sonny",CLM,LW,34,5,13,-3,12,0,2,0,0,55,14,10,0,0,0,0,0,0,0,0,0
"Miller, J.T.",NYR,C,82,22,28,9,30,2,4,1,2,141,122,50,4,0,0,0,0,0,0,0,0
"Miller, Ryan",ANA,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,1,60,636,2.5
"Monahan, Sean",CGY,C,82,30,34,1,22,8,11,1,1,208,36,30,5,0,0,0,0,0,0,0,0
"Montoya, Al",MON,G,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,1,49,495,2.72
"Morrissey, Josh",WPG,D,82,7,19,3,44,1,3,0,0,114,151,142,1,0,0,0,0,0,0,0,0
"Moulson, Matt",BUF,LW,81,12,17,-5,14,5,4,0,0,124,40,22,2,0,0,0,0,0,0,0,0
"Mrazek, Petr",DET,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,1,108,1036,2.7
"Murray, Matt",PIT,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,0,4,145,1631,2.42
"Muzzin, Jake",LOS,D,82,11,21,-11,44,3,5,0,0,122,143,112,2,0,0,0,0,0,0,0,0
"Namestnikov, Vladislav",TAM,C,81,14,24,8,36,4,4,0,0,120,73,32,1,0,0,0,0,0,0,0,0
"Nash, Rick",NYR,LW,65,20,16,4,28,5,3,0,1,161,65,30,3,0,0,0,0,0,0,0,0
"Neal, James",LAS,RW,65,27,22,-15,56,9,9,0,0,211,81,33,4,0,0,0,0,0,0,0,0
"Nelson, Brock",NYI,C,81,23,21,-4,34,2,4,0,1,167,54,40,3,0,0,0,0,0,0,0,0
"Neuvirth, Michal",PHI,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,1,104,1039,2.6
"Niederreiter, Nino",MIN,RW,82,23,27,8,40,6,5,0,0,182,112,22,3,0,0,0,0,0,0,0,0
"Nielsen, Frans",DET,C,80,19,26,-11,20,3,9,1,1,159,55,71,1,0,0,0,0,0,0,0,0
"Niemi, Antti",PIT,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,1,56,544,2.55
"Nilsson, Anders",VAN,G,43,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,1,115,1152,2.67
"Niskanen, Matt",WAS,D,80,5,30,13,34,1,9,0,0,144,150,102,1,0,0,0,0,0,0,0,0
"Nugent-Hopkins, Ryan",EDM,C,78,19,27,-4,34,4,7,0,0,188,50,35,3,0,0,0,0,0,0,0,0
"Nylander, Alexander",BUF,RW,47,9,18,-8,12,1,5,0,0,88,23,9,1,0,0,0,0,0,0,0,0
"Nylander, William",TOR,C,81,24,40,3,40,8,14,0,0,221,32,24,3,0,0,0,0,0,0,0,0
"Nyquist, Gustav",DET,RW,79,16,33,-1,24,3,7,0,0,162,56,21,2,0,0,0,0,0,0,0,0
"O'Reilly, Ryan",BUF,C,74,20,31,-3,12,7,13,1,1,169,30,44,2,0,0,0,0,0,0,0,0
"Okposo, Kyle",BUF,RW,72,20,31,-5,34,6,13,0,0,181,67,34,3,0,0,0,0,0,0,0,0
"Olofsson, Gustav",MIN,D,71,5,15,-2,30,0,0,0,0,92,91,72,0,0,0,0,0,0,0,0,0
"Orlov, Dmitry",WAS,D,82,7,27,14,40,1,4,0,0,124,125,81,1,0,0,0,0,0,0,0,0
"Oshie, T.J.",WAS,RW,75,27,25,15,34,8,5,1,1,191,100,54,5,0,0,0,0,0,0,0,0
"Ovechkin, Alex",WAS,LW,82,44,36,13,56,18,7,0,0,311,209,31,7,2,0,0,0,0,0,0,0
"Pacioretty, Max",MON,LW,81,33,34,7,36,9,5,1,1,277,81,33,6,1,0,0,0,0,0,0,0
"Pageau, Jean-Gabriel",OTT,C,82,15,19,14,24,1,1,2,1,163,162,77,2,0,0,0,0,0,0,0,0
"Palat, Ondrej",TAM,LW,75,17,30,9,30,3,8,1,1,153,122,45,3,0,0,0,0,0,0,0,0
"Palmieri, Kyle",NJD,RW,81,28,27,1,40,9,10,1,1,188,125,40,3,0,0,0,0,0,0,0,0
"Panarin, Artemi",CLM,LW,81,28,39,11,24,8,10,0,0,213,34,14,4,0,0,0,0,0,0,0,0
"Panik, Richard",CHI,RW,82,18,21,11,54,2,5,0,0,143,123,56,3,0,0,0,0,0,0,0,0
"Parayko, Colton",STL,D,80,8,33,13,30,3,6,0,1,171,90,120,1,0,0,0,0,0,0,0,0
"Parenteau, P.A.",DET,RW,69,14,16,-11,31,3,4,0,0,134,55,31,2,0,0,0,0,0,0,0,0
"Parise, Zach",MIN,LW,74,23,36,0,34,5,10,0,1,199,56,51,4,0,0,0,0,0,0,0,0
"Pastrnak, David",BOS,RW,77,33,32,5,36,11,13,0,0,254,77,21,5,0,0,0,0,0,0,0,0
"Patrick, Nolan",PHI,C,68,17,22,-7,56,2,6,0,0,155,77,22,2,0,0,0,0,0,0,0,0
"Pavelec, Ondrej",NYR,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,61,572,2.77
"Pavelski, Joe",SAN,C,81,33,39,14,32,11,15,1,1,241,133,68,7,1,0,0,0,0,0,0,0
"Pearson, Tanner",LOS,LW,80,20,21,3,20,2,4,1,1,154,112,33,3,0,0,0,0,0,0,0,0
"Perreault, Mathieu",WPG,C,70,14,32,-11,34,4,13,0,0,137,90,32,2,0,0,0,0,0,0,0,0
"Perron, David",LAS,RW,77,21,29,-17,54,11,2,1,1,169,91,31,4,0,0,0,0,0,0,0,0
"Perry, Corey",ANA,RW,82,27,29,8,70,9,13,0,0,219,81,35,5,1,0,0,0,0,0,0,0
"Petrovic, Alex",FLA,D,63,1,12,0,81,0,0,0,0,61,110,61,0,0,0,0,0,0,0,0,0
"Petry, Jeff",MON,D,78,6,21,4,30,1,3,0,0,122,144,109,0,0,0,0,0,0,0,0,0
"Phaneuf, Dion",OTT,D,77,7,23,-9,82,2,8,0,1,144,133,119,1,0,0,0,0,0,0,0,0
"Pickard, Calvin",LAS,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,75,701,3.13
"Pietrangelo, Alex",STL,D,80,10,31,5,22,3,12,0,0,176,44,144,2,0,0,0,0,0,0,0,0
"Pirri, Brandon",FLA,C,63,15,11,-6,30,4,2,0,0,119,49,18,3,0,0,0,0,0,0,0,0
"Point, Brayden",TAM,C,77,21,24,6,20,6,8,0,0,143,44,33,3,0,0,0,0,0,0,0,0
"Pominville, Jason",BUF,RW,78,14,31,5,10,1,5,0,0,171,43,33,2,0,0,0,0,0,0,0,0
"Price, Carey",MON,G,64,0,0,0,0,0,0,0,0,0,0,0,0,0,36,19,0,7,144,1700,2.25
"Provorov, Ivan",PHI,D,82,7,27,-9,40,0,4,0,0,169,120,155,1,0,0,0,0,0,0,0,0
"Pulock, Ryan",NYI,D,55,4,14,-5,16,1,3,0,0,76,34,44,0,0,0,0,0,0,0,0,0
"Quick, Jonathan",LOS,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,0,3,142,1558,2.37
"Raanta, Antti",ARI,G,50,0,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,2,140,1359,2.8
"Radulov, Alexander",DAL,RW,76,21,34,7,46,7,11,0,0,169,77,35,3,0,0,0,0,0,0,0,0
"Rakell, Rickard",ANA,C,72,25,22,4,14,5,8,0,0,181,88,31,6,0,0,0,0,0,0,0,0
"Rantanen, Mikko",COL,RW,79,22,22,-17,30,5,7,0,0,149,33,38,2,0,0,0,0,0,0,0,0
"Rask, Victor",CAR,C,82,18,26,-8,20,4,9,0,1,181,40,30,4,0,0,0,0,0,0,0,0
"Rask, Tuukka",BOS,G,62,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,0,5,145,1578,2.34
"Read, Matt",PHI,RW,66,12,15,0,16,2,3,0,0,109,88,37,2,0,0,0,0,0,0,0,0
"Reimer, James",FLA,G,42,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,2,108,1135,2.57
"Reinhart, Sam",BUF,C,79,23,32,-9,12,8,8,0,0,189,24,40,4,0,0,0,0,0,0,0,0
"Richardson, Brad",ARI,C,63,11,17,-10,28,1,2,1,1,120,55,34,1,0,0,0,0,0,0,0,0
"Rieder, Tobias",ARI,RW,81,15,20,-13,12,2,4,1,1,179,44,41,2,0,0,0,0,0,0,0,0
"Rielly, Morgan",TOR,D,78,8,26,-10,24,1,4,1,1,159,55,122,1,0,0,0,0,0,0,0,0
"Rinne, Pekka",NAS,G,60,0,0,0,0,0,0,0,0,0,0,0,0,0,30,23,0,4,144,1596,2.4
"Ristolainen, Rasmus",BUF,D,81,7,40,-5,44,3,18,0,1,191,154,134,1,0,0,0,0,0,0,0,0
"Roussel, Antoine",DAL,LW,70,13,16,8,120,0,2,0,1,134,89,50,2,0,0,0,0,0,0,0,0
"Rust, Bryan",PIT,RW,64,16,14,2,12,1,2,0,0,125,109,33,1,0,0,0,0,0,0,0,0
"Ryan, Derek",CAR,C,72,13,21,-6,33,3,6,0,1,99,41,44,2,0,0,0,0,0,0,0,0
"Ryan, Bobby",OTT,RW,75,22,27,-5,30,3,5,0,0,145,108,30,2,0,0,0,0,0,0,0,0
"Saad, Brandon",CHI,LW,82,26,34,14,16,6,10,1,1,236,30,25,5,0,0,0,0,0,0,0,0
"Sanheim, Travis",PHI,D,65,4,17,-4,53,0,2,0,0,95,85,54,0,0,0,0,0,0,0,0,0
"Saros, Juuse",NAS,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,1,59,585,2.68
"Scheifele, Mark",WPG,C,79,31,42,17,44,9,11,0,1,189,47,31,5,0,0,0,0,0,0,0,0
"Schenn, Brayden",STL,LW,80,24,31,3,36,10,11,0,0,181,171,33,5,0,0,0,0,0,0,0,0
"Schlemko, David",MON,D,69,4,17,9,20,1,3,0,0,116,44,119,1,0,0,0,0,0,0,0,0
"Schmaltz, Nick",CHI,RW,69,11,20,5,12,1,3,0,0,121,32,55,1,0,0,0,0,0,0,0,0
"Schneider, Cory",NJD,G,61,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,0,3,161,1638,2.64
"Schroeder, Jordan",CLM,C,55,8,7,0,6,0,0,0,0,63,44,21,0,0,0,0,0,0,0,0,0
"Schultz, Justin",PIT,D,78,10,33,13,30,1,13,0,0,145,56,109,1,0,0,0,0,0,0,0,0
"Schwartz, Jaden",STL,LW,78,22,34,11,20,5,8,1,1,183,55,40,4,0,0,0,0,0,0,0,0
"Seabrook, Brent",CHI,D,80,7,31,3,30,2,11,0,1,142,114,144,1,0,0,0,0,0,0,0,0
"Sedin, Daniel",VAN,LW,82,18,31,-5,34,5,11,0,1,195,20,18,2,0,0,0,0,0,0,0,0
"Sedin, Henrik",VAN,C,82,15,33,-14,22,1,12,0,0,98,24,25,1,0,0,0,0,0,0,0,0
"Sedlak, Lukas",CLM,C,65,11,10,5,32,0,0,0,1,81,71,34,0,0,0,0,0,0,0,0,0
"Seguin, Tyler",DAL,C,79,35,45,2,20,11,17,0,0,269,60,25,6,1,0,0,0,0,0,0,0
"Sekera, Andrej",EDM,D,65,3,23,11,20,0,6,0,1,108,47,117,0,0,0,0,0,0,0,0,0
"Sergachev, Mikhail",TAM,D,49,4,13,-3,36,0,3,0,0,71,61,45,0,0,0,0,0,0,0,0,0
"Severson, Damon",NJD,D,79,5,33,-25,54,0,15,0,0,132,81,68,1,0,0,0,0,0,0,0,0
"Sharp, Patrick",CHI,LW,71,16,22,4,30,3,4,1,1,189,72,23,2,0,0,0,0,0,0,0,0
"Shattenkirk, Kevin",NYR,D,77,9,36,-3,44,5,13,0,0,141,67,91,1,0,0,0,0,0,0,0,0
"Shaw, Andrew",MON,C,74,13,19,6,80,1,4,0,1,148,144,33,2,0,0,0,0,0,0,0,0
"Sheary, Conor",PIT,LW,75,24,31,12,30,6,9,0,0,199,35,56,4,0,0,0,0,0,0,0,0
"Shipachyov, Vadim",LAS,C,74,19,31,-10,24,2,9,0,0,139,25,31,2,0,0,0,0,0,0,0,0
"Shore, Devin",DAL,C,81,15,22,-6,20,1,4,0,0,124,48,73,0,0,0,0,0,0,0,0,0
"Silfverberg, Jakob",ANA,RW,80,25,27,9,26,6,5,1,1,233,61,50,4,0,0,0,0,0,0,0,0
"Simmonds, Wayne",PHI,RW,81,31,27,-9,124,14,8,1,1,231,171,50,5,1,0,0,0,0,0,0,0
"Skinner, Jeff",CAR,LW,80,31,27,-5,34,7,6,0,0,260,30,24,4,1,0,0,0,0,0,0,0
"Skjei, Brady",NYR,D,80,6,31,8,44,1,6,0,0,133,151,71,1,0,0,0,0,0,0,0,0
"Slavin, Jaccob",CAR,D,80,6,27,11,14,0,3,0,1,113,40,134,1,0,0,0,0,0,0,0,0
"Smith, Craig",NAS,RW,80,16,16,4,34,3,2,0,0,167,89,20,3,0,0,0,0,0,0,0,0
"Smith, Zack",OTT,C,78,18,17,8,72,2,1,2,1,138,144,30,2,0,0,0,0,0,0,0,0
"Smith, Reilly",LAS,RW,80,17,24,-17,20,5,5,1,1,167,71,73,2,0,0,0,0,0,0,0,0
"Smith, Mike",CGY,G,54,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0,3,138,1450,2.56
"Spezza, Jason",DAL,C,74,18,38,-5,30,3,14,0,1,167,12,26,3,0,0,0,0,0,0,0,0
"Spooner, Ryan",BOS,C,79,12,31,-4,30,3,11,0,0,144,41,18,3,0,0,0,0,0,0,0,0
"Spurgeon, Jared",MIN,D,77,9,23,13,16,1,5,0,0,131,50,142,2,0,0,0,0,0,0,0,0
"Staal, Eric",MIN,C,80,25,36,10,40,5,11,0,1,213,43,34,4,0,0,0,0,0,0,0,0
"Staal, Jordan",CAR,C,77,18,28,0,36,4,4,1,1,167,133,32,2,0,0,0,0,0,0,0,0
"Stalberg, Viktor",,LW,75,12,14,0,30,0,1,0,1,109,112,14,1,0,0,0,0,0,0,0,0
"Stalock, Alex",MIN,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,54,517,2.84
"Stamkos, Steven",TAM,C,74,36,29,3,24,11,8,1,1,221,45,35,5,1,0,0,0,0,0,0,0
"Stastny, Paul",STL,C,69,16,28,2,30,3,7,0,0,118,43,31,2,0,0,0,0,0,0,0,0
"Steen, Alexander",STL,LW,75,17,34,0,50,3,13,0,0,154,40,54,2,0,0,0,0,0,0,0,0
"Stempniak, Lee",CAR,RW,77,16,23,-5,30,4,6,0,1,129,90,24,2,0,0,0,0,0,0,0,0
"Stepan, Derek",ARI,C,77,18,30,0,22,4,12,1,2,199,36,34,3,0,0,0,0,0,0,0,0
"Stolarz, Anthony",PHI,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,56,3
"Stone, Mark",OTT,RW,73,22,34,5,30,5,9,1,1,139,40,54,4,0,0,0,0,0,0,0,0
"Streit, Mark",MON,D,69,5,17,-4,30,4,12,0,0,99,45,1,1,0,0,0,0,0,0,0,0
"Strome, Ryan",EDM,C,70,18,26,-2,46,3,7,1,1,169,82,20,3,0,0,0,0,0,0,0,0
"Strome, Dylan",ARI,C,71,19,23,-11,34,4,7,0,0,161,78,23,3,0,0,0,0,0,0,0,0
"Subban, P.K.",NAS,D,73,11,31,2,54,4,14,0,1,169,82,91,2,0,0,0,0,0,0,0,0
"Suter, Ryan",MIN,D,82,8,34,13,34,2,11,0,1,167,71,123,1,0,0,0,0,0,0,0,0
"Sutter, Brandon",VAN,C,81,19,15,-11,14,2,3,1,1,167,71,55,2,0,0,0,0,0,0,0,0
"Talbot, Cam",EDM,G,67,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25,0,5,162,1816,2.42
"Tarasenko, Vladimir",STL,RW,81,38,39,12,30,11,13,0,0,291,40,29,7,2,0,0,0,0,0,0,0
"Tatar, Tomas",DET,LW,81,23,24,-4,28,6,4,0,0,171,81,22,4,0,0,0,0,0,0,0,0
"Tavares, John",NYI,C,78,31,40,5,40,7,13,1,1,255,44,24,4,0,0,0,0,0,0,0,0
"Teravainen, Teuvo",CAR,C,80,14,24,-3,20,4,11,0,0,155,26,32,1,0,0,0,0,0,0,0,0
"Theodore, Shea",LAS,D,72,9,25,-11,54,4,9,0,0,131,29,71,2,0,0,0,0,0,0,0,0
"Thornton, Joe",SAN,C,78,11,47,12,50,1,17,0,0,113,52,31,1,0,0,0,0,0,0,0,0
"Tkachuk, Matthew",CGY,LW,78,17,36,12,112,4,11,0,1,167,69,31,3,0,0,0,0,0,0,0,0
"Toews, Jonathan",CHI,C,78,28,32,11,44,5,12,2,1,202,61,35,6,0,0,0,0,0,0,0,0
"Toffoli, Tyler",LOS,RW,77,24,27,14,24,7,8,1,1,199,62,19,3,0,0,0,0,0,0,0,0
"Tolvanen, Eeli",NAS,LW,37,9,8,-2,16,1,4,0,0,81,25,9,1,0,0,0,0,0,0,0,0
"Trocheck, Vincent",FLA,C,82,25,32,-11,44,4,9,1,1,233,143,54,3,0,0,0,0,0,0,0,0
"Trouba, Jacob",WPG,D,78,11,31,11,64,4,9,1,1,181,134,154,2,0,0,0,0,0,0,0,0
"Turris, Kyle",OTT,C,79,24,33,-6,40,5,11,1,1,215,43,41,4,0,0,0,0,0,0,0,0
"van Riemsdyk, James",TOR,LW,82,28,31,4,40,6,11,0,1,242,59,29,4,0,0,0,0,0,0,0,0
"Vanek, Thomas",VAN,LW,72,17,25,-3,30,4,7,0,0,139,32,13,1,0,0,0,0,0,0,0,0
"Varlamov, Semyon",COL,G,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,108,1035,2.7
"Vasilevskiy, Andrei",TAM,G,58,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,0,3,141,1513,2.43
"Vatanen, Sami",ANA,D,74,5,30,5,30,3,9,0,0,131,81,122,0,0,0,0,0,0,0,0,0
"Vatrano, Frank",BOS,C,72,18,13,-3,30,6,3,0,0,171,77,31,2,0,0,0,0,0,0,0,0
"Versteeg, Kris",CGY,RW,67,14,21,-4,40,4,6,0,0,133,13,30,1,0,0,0,0,0,0,0,0
"Vesalainen, Kristian",WPG,LW,33,7,8,-4,18,1,3,0,0,77,22,5,0,0,0,0,0,0,0,0,0
"Vesey, Jimmy",NYR,LW,80,21,16,-9,34,7,4,0,0,177,71,55,3,0,0,0,0,0,0,0,0
"Vlasic, Marc-Edouard",SAN,D,77,7,24,13,44,1,4,0,1,139,49,139,1,0,0,0,0,0,0,0,0
"Voracek, Jakub",PHI,LW,80,19,40,-4,40,3,17,0,0,210,33,23,2,0,0,0,0,0,0,0,0
"Vrana, Jakub",WAS,RW,34,8,8,-5,24,1,3,0,0,77,31,10,1,0,0,0,0,0,0,0,0
"Vrbata, Radim",FLA,RW,79,21,31,-14,14,5,11,0,0,214,32,23,3,0,0,0,0,0,0,0,0
"Ward, Cam",CAR,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,65,635,2.71
"Ward, Joel",SAN,RW,78,15,17,-4,32,1,2,1,1,127,67,55,2,0,0,0,0,0,0,0,0
"Warsofsky, David",COL,D,45,1,3,-4,10,0,0,0,0,54,12,33,0,0,0,0,0,0,0,0,0
"Weal, Jordan",PHI,C,61,15,12,3,24,3,0,0,0,134,21,13,1,0,0,0,0,0,0,0,0
"Weber, Shea",MON,D,78,16,32,12,40,11,12,0,0,188,133,155,2,0,0,0,0,0,0,0,0
"Wennberg, Alexander",CLM,C,78,14,42,4,22,2,13,0,0,122,58,45,2,0,0,0,0,0,0,0,0
"Werenski, Zach",CLM,D,79,12,33,13,20,4,15,0,0,191,44,99,1,0,0,0,0,0,0,0,0
"Wheeler, Blake",WPG,RW,80,25,44,4,44,4,13,1,2,239,90,54,4,0,0,0,0,0,0,0,0
"Williams, Justin",CAR,RW,80,23,30,-5,50,5,7,0,0,164,30,42,3,0,0,0,0,0,0,0,0
"Wilson, Colin",COL,LW,67,11,19,0,16,2,1,0,0,111,55,24,1,0,0,0,0,0,0,0,0
"Yandle, Keith",FLA,D,81,5,37,-5,40,2,14,0,0,164,32,71,1,0,0,0,0,0,0,0,0
"Zacha, Pavel",NJD,C,138,13,22,-15,23,3,9,0,0,177,55,21,2,0,0,0,0,0,0,0,0
"Zaitsev, Nikita",TOR,D,80,5,31,-10,42,1,8,0,0,121,167,132,0,0,0,0,0,0,0,0,0
"Zajac, Travis",NJD,C,77,14,30,0,30,5,9,1,1,133,71,31,1,0,0,0,0,0,0,0,0
"Zetterberg, Henrik",DET,LW,78,17,40,10,20,2,9,0,0,177,50,24,1,0,0,0,0,0,0,0,0
"Zibanejad, Mika",NYR,C,78,23,31,4,20,5,8,1,1,179,100,34,4,0,0,0,0,0,0,0,0
"Zuccarello, Mats",NYR,RW,80,19,40,11,30,6,10,0,1,179,85,55,3,0,0,0,0,0,0,0,0
"Zucker, Jason",MIN,LW,77,21,21,11,32,1,1,1,1,166,80,40,2,0,0,0,0,0,0,0,0